n_neurons,n_layers,mse,net_mse
5,6,102589.51199107351,-35.00445148879953
15,10,102590.84457901826,-33.67186354404839
6,5,102591.78043009421,-32.73601246809994
15,6,102592.73841390772,-31.778028654589434
4,10,102592.87248426522,-31.643958297092468
6,6,102593.89146934348,-30.624973218829837
6,10,102594.12538285326,-30.391059709043475
10,6,102594.21762904551,-30.298813516797964
15,4,102594.4276882192,-30.088754343101755
15,3,102594.625412482,-29.891030080310884
5,5,102594.94315142672,-29.57329113558808
10,3,102595.02027476463,-29.496167797682574
10,20,102595.96248103607,-28.55396152623871
6,20,102595.99225683707,-28.524185725240386
15,6,102596.12049246767,-28.395950094636646
20,6,102596.8846000231,-27.631842539209174
10,10,102597.09277329063,-27.42366927168041
6,6,102597.10580658984,-27.4106359724683
20,10,102597.75767472536,-26.75876783694548
15,5,102597.90001964748,-26.616422914827126
6,4,102597.97114862304,-26.545293939270778
10,6,102598.0917920504,-26.424650511908112
3,10,102598.65220504995,-25.864237512359978
5,4,102598.79013938097,-25.726303181334515
3,10,102598.94238327113,-25.574059291175217
15,5,102599.00850436087,-25.507938201437355
4,10,102599.0193928559,-25.49704970640596
5,10,102599.06831685302,-25.448125709284795
6,20,102599.13215197557,-25.384290586735005
20,5,102599.16990031215,-25.346542250161292
20,5,102599.17813545032,-25.338307111989707
20,6,102599.43358691715,-25.082855645159725
4,6,102599.64783395047,-24.86860861183959
5,10,102599.73661602226,-24.779826540048816
20,20,102600.09161995786,-24.42482260444376
4,5,102600.25789552965,-24.258547032659408
10,5,102600.47737812446,-24.039064437849447
10,10,102600.59593456752,-23.92050799478602
3,6,102600.79152240213,-23.724920160180773
6,10,102600.85827369818,-23.658168864130857
3,20,102600.98161156483,-23.53483099747973
15,20,102601.35864662868,-23.157795933628222
20,4,102601.36374182023,-23.152700742080924
4,20,102601.60498303687,-22.91145952543593
20,4,102601.84010062504,-22.67634193727281
20,10,102602.2625191984,-22.25392336391087
4,20,102602.27343379834,-22.243008763965918
5,3,102602.3809708031,-22.135471759203938
4,5,102602.72716796338,-21.78927459892293
15,10,102602.8325895688,-21.683852993504843
10,20,102603.02301965527,-21.493422907034983
4,4,102603.08410024994,-21.432342312371475
15,4,102603.08486585654,-21.431576705770567
15,20,102603.25438408543,-21.26205847687379
20,3,102603.32466994874,-21.19177261357254
4,6,102603.33216302765,-21.184279534660163
3,5,102603.89702205313,-20.619420509174233
3,4,102604.11601791583,-20.400424646475585
5,4,102604.4314950435,-20.08494751881517
4,4,102604.85428571086,-19.66215685145289
3,6,102605.31180116266,-19.20464139964315
3,20,102605.38564593467,-19.1307966276363
2,10,102605.43903139145,-19.077411170859705
5,5,102605.81060743325,-18.705835129061597
10,4,102607.97912137203,-16.537321190276998
5,6,102608.45998795835,-16.05645460395317
20,20,102608.57924481302,-15.937197749284678
2,6,102609.24590435554,-15.270538206765195
10,5,102609.8509723391,-14.665470223204466
2,10,102610.83568055632,-13.680762005984434
6,4,102611.33331576936,-13.183126792951953
20,2,102611.90151762452,-12.614924937792239
6,5,102613.64525731992,-10.871185242387583
4,3,102613.9782612247,-10.53818133760069
2,20,102617.06682663757,-7.449615924735554
5,3,102617.13597627245,-7.380466289861943
2,20,102617.21261969813,-7.303822864181711
6,3,102617.239225186,-7.277217376307817
3,2,102619.07837601159,-5.438066550719668
3,5,102619.33332624011,-5.18311632219411
6,3,102620.16475175486,-4.351690807452542
2,6,102620.2463178809,-4.27012468141038
3,3,102620.91419960269,-3.602242959619616
15,3,102620.93701970887,-3.5794228534359718
2,5,102623.51740357479,-0.999038987516542
10,2,102623.7037391991,-0.8127033632044913
5,2,102623.92713852797,-0.5893040343362372
4,2,102624.56966505936,0.0532224970520474
3,4,102624.57708548485,0.06064292254450265
20,3,102624.9775032168,0.4610606544883922
10,2,102625.02236191515,0.5059193528431933
10,4,102625.84078643282,1.3243438705103472
10,3,102627.11556791978,2.599125357475714
4,3,102627.38515970683,2.8687171445199056
2,4,102629.7431466853,5.226704122993397
15,2,102633.0540187249,8.537576162590994
6,2,102633.11096689696,8.594524334650487
2,5,102634.03878852836,9.522345966048306
6,2,102634.49163169753,9.975189135220717
6,1,102635.25355658337,10.737114021059824
15,2,102636.23202734662,11.715584784309613
1,20,102637.88971043564,13.373267873335863
1,20,102638.87601886479,14.359576302478672
2,4,102640.01513738235,15.498694820038509
1,10,102640.75363634308,16.23719378077658
1,3,102641.00453672794,16.488094165630173
4,2,102641.65565070153,17.139208139225957
3,3,102641.96549550323,17.44905294092314
1,10,102642.12840348101,17.611960918700788
15,1,102644.59517497872,20.078732416412095
20,1,102647.8931370804,23.376694518097793
15,1,102648.12118883505,23.604746272743796
10,1,102648.40861571029,23.89217314797861
1,5,102648.44760644213,23.931163879824453
1,5,102648.56338174162,24.046939179315814
1,3,102648.58558254875,24.069139986444497
5,2,102651.02217911332,26.505736551014706
1,4,102652.6785458685,28.162103306196514
1,4,102657.33360110698,32.81715854466893
1,6,102657.48906983437,32.97262727205816
10,1,102658.20643843467,33.689995872366126
1,6,102659.33187995967,34.81543739736662
20,2,102667.4735255176,42.957082955297665
1,2,102675.54873477452,51.03229221221409
1,2,102676.82117528465,52.30473272234667
2,3,102676.93808751197,52.42164494965982
2,3,102677.84948590348,53.33304334117565
2,2,102678.76726286099,54.25082029867917
5,1,102681.39337305112,56.87693048881192
4,1,102684.06992365498,59.55348109267652
2,2,102690.05378075733,65.5373381950194
3,2,102698.12447971277,73.60803715046495
4,1,102700.34752575283,75.83108319052553
20,1,102701.4756931051,76.95925054278632
2,1,102703.86461063728,79.34816807496827
6,1,102711.14096123217,86.62451866986521
3,1,102716.60212266815,92.08568010583986
5,1,102717.42178776427,92.90534520195797
2,1,102729.93824920627,105.42180664396437
3,1,102741.62157931834,117.10513675602851
1,1,102754.87629247943,130.3598499171203
1,1,102770.84939601553,146.33295345322404
