n_neurons,n_layers,mse,net_mse
5,5,111933.69625302023,9309.179810457921
5,10,111934.29076510304,9309.774322540732
10,10,111937.93908602155,9313.422643459242
15,10,111939.90708199608,9315.390639433768
15,5,111945.14762504214,9320.631182479832
15,4,111946.71205978602,9322.195617223711
20,10,111948.61180720052,9324.095364638211
20,5,111950.95779147769,9326.441348915381
10,5,111951.89154199,9327.375099427692
10,4,111961.22984958523,9336.713407022922
20,3,111964.15105614052,9339.634613578208
20,4,111987.50628315023,9362.989840587921
5,3,111991.07084221108,9366.554399648769
15,2,112006.09603099173,9381.57958842942
5,4,112017.85381987288,9393.33737731057
10,3,112044.98029515693,9420.463852594621
15,3,112050.09273477383,9425.576292211525
20,2,112145.24084472575,9520.72440216344
5,2,112158.55090141621,9534.034458853901
10,1,112174.2275720494,9549.7111294871
20,1,112180.35793329199,9555.841490729683
10,2,112196.77335242141,9572.256909859105
5,1,112248.79705216909,9624.28060960678
15,1,112285.41307902837,9660.89663646606
