n_neurons,n_layers,mse,net_mse
15,5,86280.19331462483,-16344.323127937474
15,4,86283.7835022343,-16340.732940328002
20,3,86283.98854508827,-16340.527897474036
20,10,86286.3878255913,-16338.128616971007
10,5,86286.94996321067,-16337.566479351633
20,5,86287.6940661526,-16336.822376409706
5,10,86288.19218036813,-16336.324262194175
10,10,86288.4720178348,-16336.0444247275
15,10,86289.27203854191,-16335.244404020399
5,5,86289.95040281543,-16334.566039746875
10,3,86292.13269208536,-16332.383750476947
5,3,86297.39413646102,-16327.122306101286
5,4,86304.56565182898,-16319.950790733332
20,4,86306.09883152814,-16318.417611034165
10,4,86315.85937977146,-16308.657062790851
20,2,86326.23959769917,-16298.27684486314
5,2,86335.69088992591,-16288.825552636394
10,2,86336.60768691481,-16287.908755647499
15,3,86338.55546185137,-16285.960980710937
15,2,86347.11303811274,-16277.403404449564
10,1,86419.00113461679,-16205.51530794552
5,1,86430.62071933717,-16193.895723225141
20,1,86447.25308098867,-16177.263361573641
15,1,86448.76675051302,-16175.749692049285
