min_samples_leaf,n_estimators,mse,net_mse
500,100,60946.20693877815,-63.91536481883668
1000,100,60946.460919605204,-63.66138399178453
500,100,60946.59141696824,-63.53088662875234
500,100,60946.864091075455,-63.258212521534006
500,100,60947.553490444734,-62.568813152254734
1000,100,60947.73042859001,-62.39187500697881
1000,100,60948.05765246471,-62.064651132277504
1000,100,60948.21932769312,-61.90297590386763
500,100,60948.22802581003,-61.89427778695972
1000,100,60948.707258072376,-61.41504552461265
1000,100,60949.079202535606,-61.04310106138291
1000,100,60949.445480684124,-60.676822912864736
500,100,60949.4962388754,-60.6260647215895
1000,100,60949.954868652334,-60.167434944654815
500,100,60950.852812362325,-59.26949123466329
500,100,60958.42189108499,-51.700412512000185
200,100,60961.76025335577,-48.36205024121591
1000,100,60961.772797984806,-48.34950561218284
2500,100,60965.18922698237,-44.93307661461586
2500,100,60965.431802993895,-44.690500603093824
2500,100,60965.45325593082,-44.6690476661679
2500,100,60965.73802624103,-44.38427735595906
2500,100,60965.84939581588,-44.2729077811091
2500,100,60966.51129463767,-43.611008959320316
200,100,60968.761157760826,-41.361145836162905
200,100,60968.9032413,-41.21906229698652
200,100,60968.97229083833,-41.15001275866234
200,100,60973.7516063026,-36.37069729439099
200,100,60974.489929914336,-35.63237368265254
2500,100,60975.35592029997,-34.76638329702109
200,100,60975.408900168,-34.713403428992024
200,100,60976.11079564205,-34.01150795493595
5000,100,60978.82603857738,-31.296265019605926
5000,100,60979.04447577878,-31.077827818211517
5000,100,60979.14951350998,-30.972790087005706
5000,100,60979.19671439609,-30.925589200902323
5000,100,60979.36768833692,-30.75461526006984
5000,100,60979.93007896138,-30.192224635611637
5000,100,60979.96727041558,-30.155033181406907
200,100,60979.990354843525,-30.131948753463803
5000,100,60980.14510257211,-29.977201024878013
5000,100,60988.74780171579,-21.37450188119692
100,100,60992.554105220755,-17.56819837623334
100,100,60996.120735216115,-14.001568380874232
100,100,61017.41309552757,7.290791930579871
100,100,61020.116978545586,9.994674948597094
100,100,61020.84329930843,10.720995711439173
100,100,61020.9951228219,10.872819224910927
100,100,61022.4687449656,12.346441368608794
100,100,61022.92873708174,12.806433484751324
