min_samples_leaf,n_estimators,mse,net_mse
200,100,111992.00549358061,-87.72891202932806
200,100,111992.2122387587,-87.52216685123858
200,100,111992.27095762354,-87.46344798640348
200,100,111993.1077168311,-86.62668877883698
200,100,111995.96524298788,-83.76916262206214
200,100,111997.68697160584,-82.04743400409643
200,100,111997.84121076914,-81.89319484079897
200,100,111998.673839408,-81.06056620193704
200,100,112004.96426394602,-74.77014166391746
200,100,112012.66416475106,-67.07024085888406
200,100,112013.81807359826,-65.9163320116786
500,100,112016.54886013943,-63.18554547050735
500,100,112018.46341202746,-61.27099358248233
500,100,112020.09709061214,-59.637314997802605
500,100,112020.96554605167,-58.76885955827311
500,100,112022.66614268208,-57.068262927859905
500,100,112025.04334811572,-54.691057494215784
500,100,112025.22725371754,-54.50715189239418
500,100,112025.47686809897,-54.257537510973634
500,100,112030.45860486433,-49.275800745614106
100,100,112038.33091288795,-41.403492721990915
500,100,112041.83947317419,-37.89493243575271
100,100,112042.37503075117,-37.35937485877366
100,100,112042.63153907357,-37.10286653637013
100,100,112042.65709558602,-37.07731002391665
100,100,112044.33384302382,-35.4005625861173
500,100,112044.94126538104,-34.793140228895936
100,100,112048.03621612981,-31.69818948012835
100,100,112048.71335012559,-31.021055484350654
100,100,112052.06633595655,-27.668069653387647
100,100,112053.11596806094,-26.618437548997463
1000,100,112057.09272178484,-22.64168382510252
1000,100,112057.15777767645,-22.576627933493
100,100,112057.62184738329,-22.112558226654073
100,100,112058.22985710391,-21.504548506025458
1000,100,112060.13505287438,-19.599352735560387
1000,100,112061.0069032853,-18.72750232463295
1000,100,112061.43555006242,-18.298855547516723
1000,100,112061.59627855926,-18.13812705068267
1000,100,112062.56577849181,-17.168627118124277
1000,100,112063.23384228816,-16.500563321780646
1000,100,112063.6431890316,-16.09121657833748
1000,100,112079.03016772098,-0.7042378889600514
1000,100,112080.29448467866,0.5600790687167319
2000,100,112117.9236753908,38.18926978086529
2000,100,112121.2984947626,41.56408915265638
2000,100,112123.95911727246,44.22471166252217
2000,100,112126.85975961122,47.125354001283995
200,100,112141.90078167901,62.1663760690717
2000,100,112147.1813193483,67.44691373835667
500,100,112150.56540515982,70.83099954988575
100,100,112152.69581406414,72.96140845419723
1000,100,112174.78038288544,95.04597727549844
2000,100,112210.73801732282,131.0036117128766
