min_samples_leaf,n_estimators,mse,net_mse
500,100,86145.2445403058,-183.93715699738823
500,100,86148.6925759626,-180.489121340579
500,100,86149.69117159712,-179.49052570606
500,100,86151.39756839506,-177.78412890812615
500,100,86152.09968542945,-177.08201187373197
500,100,86154.3038579625,-174.87783934068284
500,100,86154.7647412293,-174.416956073881
500,100,86156.1029353983,-173.07876190487877
500,100,86156.8405828533,-172.3411144498823
1000,100,86156.98916048501,-172.19253681816917
1000,100,86157.33356477498,-171.8481325282046
1000,100,86157.55761313548,-171.62408416770631
500,100,86158.25363431881,-170.92806298437063
500,100,86158.6838230685,-170.4978742346866
1000,100,86159.33337249211,-169.8483248110715
1000,100,86161.52698378051,-167.65471352267195
1000,100,86161.97267724884,-167.20902005434618
1000,100,86162.2240933997,-166.95760390348732
1000,100,86162.46177075109,-166.71992655209033
500,100,86162.77267752259,-166.40901978059264
1000,100,86162.83919852388,-166.34249877929688
1000,100,86163.81195528613,-165.36974201705016
1000,100,86165.96337809626,-163.21831920692057
200,100,86168.01663805402,-161.1650592491642
200,100,86168.59352327719,-160.5881740259938
200,100,86173.74484198239,-155.43685532078962
200,100,86174.33445969607,-154.84723760711495
200,100,86175.11293088485,-154.06876641833514
200,100,86176.00292545072,-153.17877185245743
200,100,86177.54472384688,-151.636973456305
200,100,86177.92467617003,-151.25702113314765
1000,100,86179.29195422579,-149.8897430773941
200,100,86179.85966408938,-149.32203321380075
200,100,86180.03875984024,-149.14293746293697
2000,100,86190.2268802282,-138.95481707497675
2000,100,86192.92295634196,-136.25874096121697
2000,100,86193.12940087145,-136.05229643173516
2000,100,86193.20169135362,-135.98000594956102
2000,100,86197.551765037,-131.62993226617982
100,100,86197.69813863521,-131.4835586679692
100,100,86201.84400102063,-127.33769628255686
2000,100,86208.60872148011,-120.57297582307365
100,100,86210.33789242226,-118.84380488091847
100,100,86213.20585523656,-115.9758420666185
100,100,86215.53378229855,-113.64791500463616
100,100,86215.9661365235,-113.21556077968853
100,100,86216.14244697851,-113.03925032466941
100,100,86218.41456636456,-110.76713093862054
100,100,86220.50779614059,-108.67390116259048
100,100,86223.17208488824,-106.00961241494224
100,100,86230.32690311241,-98.85479419077456
100,100,86232.50650767903,-96.6751896241476
