max_depth,min_samples_leaf,mse,net_mse
20,25000,102741.96782300863,117.4513804463204
10,25000,102742.75197142956,118.2355288672552
9,25000,102743.21213547644,118.69569291413063
8,25000,102743.44383732839,118.92739476608403
6,25000,102746.4643936669,121.94795110459381
20,10000,102747.84271991576,123.32627735345159
10,10000,102747.86947180358,123.35302924127609
7,10000,102748.43812068485,123.92167812254047
9,10000,102748.80610962847,124.28966706615756
8,10000,102749.3851691121,124.86872654978652
6,10000,102750.95432692819,126.43788436587784
5,25000,102751.28634455726,126.76990199495049
5,1000,102753.13421254075,128.61776997844572
5,1000,102753.13421254075,128.61776997844572
6,5000,102753.77681489398,129.26037233167153
6,2500,102754.70163263852,130.18519007621217
6,2500,102754.70163263852,130.18519007621217
5,5000,102755.47910921628,130.9626666539698
7,5000,102756.53863848548,132.02219592317124
5,10000,102757.20773581715,132.6912932548439
5,2500,102757.4299203862,132.91347782389494
5,2500,102757.4299203862,132.91347782389494
4,25000,102757.89998956752,133.3835470052145
9,5000,102758.15889341706,133.64245085474977
8,5000,102759.33413604708,134.81769348477246
10,5000,102759.83607904949,135.31963648718374
4,5000,102760.59829135494,136.0818487926299
8,50000,102761.41170001646,136.8952574541472
20,50000,102761.42463209142,136.9081895291165
10,50000,102761.4574699723,136.9410274099937
9,50000,102761.55976979785,137.04332723554398
7,50000,102761.64263528303,137.12619272072334
9,100000,102761.7580754114,137.24163284909446
10,100000,102761.7580754114,137.24163284909446
20,100000,102761.7580754114,137.24163284909446
8,100000,102761.91771460455,137.401272042247
7,100000,102762.19253122268,137.67608866037335
6,50000,102762.206188885,137.68974632269237
4,2500,102763.04278795813,138.52634539581777
4,2500,102763.04278795813,138.52634539581777
5,100000,102763.37732383964,138.86088127733092
20,5000,102763.65793114695,139.14148858464614
5,50000,102764.4474481754,139.93100561309257
7,2500,102765.06682087462,140.55037831231311
7,2500,102765.06682087462,140.55037831231311
4,10000,102765.14614563482,140.6297030725109
4,1000,102768.51336633766,143.99692377535393
4,1000,102768.51336633766,143.99692377535393
4,50000,102768.56671644677,144.05027388446615
4,100000,102768.88805100544,144.3716084431362
3,25000,102770.08918794073,145.57274537842022
8,2500,102771.55622886428,147.03978630197525
8,2500,102771.55622886428,147.03978630197525
3,2500,102771.78117916395,147.2647366016463
3,2500,102771.78117916395,147.2647366016463
3,5000,102772.16639560119,147.6499530388828
3,100000,102773.51803285895,149.00159029664064
9,2500,102774.60764345221,150.09120088990312
9,2500,102774.60764345224,150.09120088993222
3,50000,102776.05137963183,151.5349370695185
3,1000,102776.28292748479,151.76648492248205
3,1000,102776.28292748479,151.76648492248205
3,10000,102777.308750697,152.7923081346962
10,2500,102778.325653489,153.80921092668723
10,2500,102778.325653489,153.80921092668723
6,1000,102794.95811559034,170.44167302803544
6,1000,102794.95811559034,170.44167302803544
3,500,102795.21143078865,170.6949882263434
3,500,102795.21143078865,170.6949882263434
4,500,102795.82354164291,171.3070990806009
4,500,102795.82354164291,171.3070990806009
20,2500,102796.8595587865,172.34311622419045
20,2500,102797.10862322623,172.5921806639235
5,500,102800.18019739412,175.66375483181037
5,500,102800.18019739412,175.66375483181037
7,1000,102815.76930779728,191.25286523497198
7,1000,102815.76930779728,191.25286523497198
6,500,102827.64467550581,203.12823294350528
6,500,102827.64467550581,203.12823294350528
3,100,102830.04539426384,205.52895170153352
3,100,102830.04539426384,205.52895170153352
8,1000,102834.32359079405,209.8071482317464
8,1000,102834.32359079405,209.8071482317464
9,1000,102852.05071966418,227.5342771018768
9,1000,102852.05071966421,227.5342771019059
7,500,102868.69711092085,244.18066835854552
7,500,102868.69711092087,244.18066835856007
4,100,102869.95683678443,245.44039422212518
4,100,102869.95683678443,245.44039422212518
10,1000,102874.58524451306,250.06880195075064
10,1000,102874.58524451306,250.06880195075064
8,500,102876.5213732411,252.0049306787987
8,500,102876.5213732411,252.0049306787987
9,500,102923.54788846264,299.0314459003275
9,500,102923.54788846264,299.0314459003275
5,100,102935.71001967695,311.1935771146382
5,100,102935.71001967695,311.1935771146382
20,1000,102945.51309831566,320.996655753348
20,1000,102946.9993533246,322.4829107622936
10,500,102949.59079977164,325.07435720933427
10,500,102949.59079977164,325.07435720933427
6,100,103087.43376026281,462.91731770049955
6,100,103087.43376026282,462.9173177005141
20,500,103101.62002200667,477.10357944435964
20,500,103104.00063691381,479.4841943515057
7,100,103236.74135430894,612.2249117466272
7,100,103236.74135430894,612.2249117466272
8,100,103331.95828563276,707.4418430704536
8,100,103331.95828563276,707.4418430704536
9,100,103411.04673036146,786.5302877991489
9,100,103411.04673036146,786.5302877991489
10,100,103551.68715161737,927.1707090550626
10,100,103551.68715161737,927.1707090550626
20,100,104426.11560560825,1801.5991630459466
20,100,104433.42000865706,1808.9035660947557
