max_depth,min_samples_leaf,mse,net_mse
7,10000,61021.78547178053,11.663168183542439
8,10000,61022.087289273775,11.964985676786455
9,10000,61022.19845706211,12.076153465124662
10,10000,61022.81484105388,12.692537456889113
6,10000,61022.95115296983,12.828849372839613
5,10000,61024.88950416837,14.767200571383
10,25000,61028.38111698285,18.258813385858957
8,25000,61028.79491852118,18.672614924187656
7,25000,61029.43243311309,19.31012951610319
4,10000,61030.06916039318,19.946856796188513
6,25000,61030.35418652897,20.231882931984728
7,5000,61030.927605453115,20.80530185612588
8,5000,61031.23195367192,21.109650074933597
5,25000,61031.715351837775,21.59304824078572
6,5000,61032.14173268234,22.019429085354204
5,5000,61032.52314857844,22.400844981450064
9,5000,61033.28328325591,23.160979658918222
10,5000,61034.529909789475,24.407606192486128
3,10000,61034.94798243777,24.82567884078162
4,5000,61036.14434589024,26.022042293254344
4,25000,61036.55805348327,26.435749886280973
3,5000,61041.22771886004,31.105415263053146
3,25000,61043.1937505722,33.07144697521289
10,50000,61046.66759133666,36.54528773967468
9,50000,61046.745824781836,36.62352118484705
8,50000,61046.9051058467,36.782802249712404
7,50000,61046.986777586935,36.86447398994642
6,50000,61048.15519383298,38.032890235990635
5,50000,61049.78622713548,39.66392353849369
4,50000,61052.268368510784,42.14606491379527
10,100000,61053.12875424289,43.00645064590208
9,100000,61053.15886781907,43.036564222078596
8,100000,61053.19455950297,43.072255905979546
7,100000,61053.51632913204,43.394025535053515
6,100000,61053.99068386356,43.86838026656915
5,100000,61055.56127299039,45.43896939339902
4,100000,61057.07126930043,46.94896570344281
3,50000,61059.543886916195,49.42158331920655
3,100000,61063.77544582426,53.65314222727466
