max_depth,min_samples_leaf,mse,net_mse
8,2500,112319.4564526057,239.72204699575377
7,2500,112319.8740289225,240.13962331255607
10,2500,112320.51397443027,240.77956882033322
9,2500,112321.45717692743,241.72277131749433
6,2500,112330.92445142135,251.19004581141053
6,1000,112331.39195153321,251.65754592326994
5,2500,112333.99561309919,254.26120748925314
7,1000,112336.18679237516,256.45238676521694
10,5000,112338.65171174404,258.9173061340989
5,1000,112339.98453354946,260.2501279395219
9,5000,112340.76637666677,261.0319710568292
10,10000,112344.1525055986,264.4180999886594
8,5000,112344.55631254413,264.8219069341867
9,10000,112344.5659180748,264.8315124648652
9,1000,112346.54175557004,266.8073499601014
6,500,112347.9968929008,268.26248729086365
8,10000,112348.87411506368,269.13970945373876
8,1000,112349.0385801011,269.30417449116067
7,5000,112350.34931290585,270.6149072959088
7,10000,112354.69401526457,274.9596096546302
10,1000,112355.52674723435,275.7923416244157
7,500,112356.51455858051,276.7801529705757
5,500,112357.40900127444,277.6745956645027
4,2500,112359.6680199023,279.93361429235665
6,5000,112360.76429111541,281.0298855054716
6,10000,112363.61264586459,283.8782402546494
5,5000,112365.52518989625,285.790784286306
4,1000,112371.67696537399,291.9425597640511
5,10000,112371.7678111546,292.0334055446583
4,5000,112384.63140259757,304.89699698763434
8,500,112389.14709580617,309.41269019622996
4,10000,112394.85550386975,315.12109825981315
4,500,112405.16394799994,325.4295423900039
9,500,112405.62868279849,325.8942771885486
10,500,112419.54496839331,339.810562783372
3,2500,112424.22723693978,344.4928313298442
10,25000,112428.14089322744,348.40648761749617
10,25000,112428.14089417427,348.4064885643311
9,25000,112429.05828736983,349.32388175989036
9,25000,112429.05828837545,349.323882765515
8,25000,112431.5002766895,351.76587107956584
8,25000,112431.50027718025,351.76587157031463
7,25000,112434.50479278233,354.7703871723934
7,25000,112434.50479349625,354.77038788631035
3,1000,112436.81694753797,357.08254192802997
3,500,112436.81694753797,357.08254192802997
3,5000,112440.1147025055,360.38029689555697
6,25000,112441.39395817794,361.65955256800225
6,25000,112441.39396024108,361.6595546311437
3,10000,112443.1692674894,363.4348618794611
5,25000,112452.27089655428,372.53649094434513
5,25000,112452.2708977816,372.53649217165366
4,25000,112465.12837026996,385.39396466001926
4,25000,112465.12837143493,385.3939658249874
3,100,112476.22871480872,396.4943091987807
3,25000,112499.59118371634,419.8567781064048
3,25000,112499.59118623636,419.8567806264182
10,50000,112505.71954087529,425.9851352653495
9,50000,112505.97265706629,426.23825145635055
8,50000,112506.39422434995,426.65981874000863
7,50000,112508.16943419258,428.43502858263673
6,50000,112512.98797825899,433.25357264904596
5,50000,112519.02544046588,439.29103485593805
4,50000,112531.15909862024,451.4246930102963
4,100,112533.31895064052,453.58454503057874
3,50000,112557.26277525055,477.52836964061134
5,100,112641.14973351952,561.4153279095772
10,100000,112683.24620974985,603.511804139911
9,100000,112683.26399287727,603.5295872673305
8,100000,112683.29975247901,603.5653468690725
7,100000,112683.55495335332,603.8205477433803
6,100000,112685.46166288108,605.7272572711372
5,100000,112687.49450978253,607.7601041725866
4,100000,112692.25255095227,612.5181453423284
3,100000,112704.279776723,624.545371113054
7,100,112821.6491143923,741.9147087823658
8,100,112930.18712369306,850.452718083121
9,100,113011.36408787768,931.6296822677396
10,100,113128.87784173073,1049.143436120794
