max_depth,min_samples_leaf,mse,net_mse
8,5000,86265.83379186176,-63.34790544142015
7,5000,86265.858805829,-63.322891474177595
9,5000,86266.26152609644,-62.92017120674427
10,5000,86267.00780963164,-62.17388767153898
6,5000,86271.22496573757,-57.95673156561679
5,5000,86277.08728938136,-52.09440792181704
4,5000,86279.50794805768,-49.673749245499494
3,5000,86287.57056227588,-41.61113502729859
8,10000,86326.99687536292,-2.184821940260008
10,10000,86327.01896388229,-2.162733420889708
9,10000,86327.07567003336,-2.106027269823244
7,10000,86327.33308105663,-1.8486162465560483
6,10000,86331.707564392,2.525867088814266
5,10000,86335.1445521441,5.962854840923683
4,10000,86338.53653392084,9.354836617654655
3,10000,86344.65290490811,15.471207604932715
9,25000,86365.29078378217,36.10908647898759
9,25000,86365.29078436334,36.10908706016198
8,25000,86365.39048707427,36.20878977108805
8,25000,86365.39048768942,36.20879038624116
10,25000,86365.78824835722,36.60655105403566
10,25000,86365.78824894475,36.60655164156924
7,25000,86366.0888011439,36.90710384071281
7,25000,86366.08880126162,36.9071039584378
6,25000,86368.89095279897,39.709255495792604
6,25000,86368.89095304377,39.70925574058492
5,25000,86372.08289722576,42.90119992257678
5,25000,86372.08289961705,42.901202313863905
4,25000,86374.17274871726,44.991051414079266
4,25000,86374.17275020538,44.99105290220177
3,25000,86377.68008189232,48.49838458914019
3,25000,86377.68008360348,48.4983863002999
7,50000,86479.72222188962,150.54052458643855
9,50000,86479.79208915505,150.61039185186382
8,50000,86479.80356240303,150.62186509984895
10,50000,86480.00787786703,150.82618056384672
6,50000,86481.10156171981,151.91986441663175
5,50000,86483.06642822259,153.88473091940978
4,50000,86486.96983633729,157.78813903410628
3,50000,86490.61422401751,161.43252671432856
8,100000,86524.86775175868,195.68605445549474
9,100000,86524.9653912985,195.7836939953122
10,100000,86524.96902950741,195.78733220422873
7,100000,86525.05029349649,195.8685961933079
6,100000,86525.52711333083,196.34541602764511
5,100000,86526.73886798501,197.55717068183003
4,100000,86530.14515979696,200.9634624937753
3,100000,86532.41010429857,203.22840699538938
