n_estimators,max_depth,learning_rate,gamma,min_child_weight,subsample,scale_pos_weight,reg_alpha,colsample_bytree,seed,mse,net_mse
250,2,0.1,0.0,1,1.0,1.0,52.96768432494973,0.8906393841897512,0,111939.01368541186,-140.7207201980782
500,2,0.05,0.0,1,1.0,1.0,43.61519212804733,0.9265281714541357,1,111940.23131358503,-139.5030920249119
500,2,0.1,0.0,1,1.0,1.0,21.60954216139771,0.8788095496644679,0,111940.55043532056,-139.1839702893776
750,2,0.05,0.0,1,1.0,1.0,66.99872663713265,0.7729759398018231,1,111941.1468503353,-138.58755527464382
200,2,0.2,0.0,1,1.0,1.0,61.55676434790753,0.9776054687902772,0,111942.83657603587,-136.89782957406715
500,2,0.05,0.0,1,1.0,1.0,45.595349926181136,0.9651788949819524,0,111944.10482791765,-135.62957769229251
750,2,0.05,0.0,1,1.0,1.0,127.5033958520809,0.9936998093965362,0,111944.72340614222,-135.01099946771865
200,2,0.1,0.0,1,1.0,1.0,16.24211274321151,0.9724684779379776,0,111947.56019794536,-132.17420766457508
200,2,0.1,0.0,1,1.0,1.0,50.285375683541545,0.9329190850312398,1,111948.20270074543,-131.53170486450836
1000,2,0.05,0.0,1,1.0,1.0,137.02401405731146,0.7928852326671394,0,111949.01179135604,-130.72261425390025
1000,2,0.05,0.0,1,1.0,1.0,27.90308764394025,0.8402484321033996,1,111950.35146973193,-129.3829358780058
150,2,0.2,0.0,1,1.0,1.0,67.12592673983345,0.9801973865344352,0,111953.61176922632,-126.12263638361765
100,2,0.3,0.0,1,1.0,1.0,13.349961889758102,0.8956642070159214,0,111955.93168113877,-123.80272447117022
150,2,0.3,0.0,1,1.0,1.0,75.36536581255395,0.9944730899816381,0,111960.11167313035,-119.62273247959092
100,2,0.2,0.0,1,1.0,1.0,42.24010520515646,0.9483734502720952,0,111963.22535747025,-116.509048139691
500,2,0.1,0.0,1,1.0,1.0,12.435463641714009,0.9143217725931218,1,111964.75209817228,-114.9823074376618
750,2,0.1,0.0,1,1.0,1.0,46.16017529257793,0.9422326933666971,1,111966.22778851716,-113.50661709277483
250,2,0.2,0.0,1,1.0,1.0,1.757592900798735,0.9988228430285618,0,111967.10853986564,-112.62586574429588
50,2,0.3,0.0,1,1.0,1.0,49.67389463644455,0.9233397147707297,0,111971.10915869125,-108.62524691868748
750,2,0.1,0.0,1,1.0,1.0,11.720579843462273,0.9049956563575916,0,111975.36287988248,-104.37152572745981
150,2,0.1,0.0,1,1.0,1.0,0.3808952139128259,0.9998164732185028,0,111976.24615859416,-103.48824701577541
100,2,0.3,0.0,1,1.0,1.0,0.919977333713717,0.9664235496028429,1,111976.44886551022,-103.2855400997214
1000,2,0.01,0.0,1,1.0,1.0,24.214266564416466,0.9503339716141442,1,111987.63151752012,-92.10288808982295
