n_estimators,max_depth,learning_rate,gamma,min_child_weight,subsample,scale_pos_weight,reg_alpha,colsample_bytree,seed,mse,net_mse
1000,3,0.005,0.0,1,1.0,1.0,39.37050152074012,0.8538391368207365,0,86152.70481261806,-176.47688468512206
250,2,0.1,0.0,1,1.0,1.0,10.96442991705377,0.7302945783836244,0,86153.98892406546,-175.19277323772258
250,2,0.3,0.0,1,1.0,1.0,56.61654838374479,0.7798607431258503,0,86155.3576371263,-173.82406017687754
500,2,0.1,0.0,1,1.0,1.0,5.292058437324211,0.9746251861089062,0,86156.46222245108,-172.71947485209967
150,2,0.3,0.0,1,1.0,1.0,25.433945508264866,0.9910019183023423,0,86158.89851982187,-170.2831774813094
100,2,0.3,0.0,1,1.0,1.0,154.56767354903363,0.788569373923092,0,86159.55283948475,-169.62885781843215
500,2,0.05,0.0,1,1.0,1.0,24.228999525622747,0.906742053403039,0,86163.0258034089,-166.15589389427623
250,2,0.2,0.0,1,1.0,1.0,176.0142755729196,0.9676806802151076,0,86163.33531411673,-165.8463831864501
100,3,0.1,0.0,1,1.0,1.0,29.340337073331703,0.8745601057150895,0,86164.98626128373,-164.19543601945043
750,3,0.01,0.0,1,1.0,1.0,16.133230540037967,0.8090104953314615,0,86165.10792984958,-164.0737674536067
200,2,0.1,0.0,1,1.0,1.0,61.25428836803387,0.8216562181828294,0,86167.92231858039,-161.2593787227961
500,3,0.01,0.0,1,1.0,1.0,41.31670742252458,0.9405968209089001,0,86168.37945140801,-160.80224589517456
200,2,0.3,0.0,1,1.0,1.0,0.16237106453797007,0.9632148216438496,0,86168.38515920732,-160.79653809586307
750,2,0.05,0.0,1,1.0,1.0,36.50867536633751,0.9396822109923606,0,86169.830824194,-159.35087310918607
750,3,0.005,0.0,1,1.0,1.0,157.59163301960058,0.9960178452005285,0,86170.3088280849,-158.87286921827763
150,3,0.1,0.0,1,1.0,1.0,37.495228618821805,0.7014355103081792,0,86170.39061112737,-158.7910861758137
1000,3,0.01,0.0,1,1.0,1.0,59.75937036609618,0.9259923252033178,0,86173.2588933381,-155.92280396507704
50,3,0.1,0.0,1,1.0,1.0,17.17340658307934,0.8161133038763235,0,86175.12157630202,-154.0601210011664
150,2,0.1,0.0,1,1.0,1.0,33.15055147336481,0.7597447995839931,0,86176.60229590669,-152.57940139649145
1000,2,0.05,0.0,1,1.0,1.0,98.9643220685145,0.9109402186386252,0,86177.06018569444,-152.12151160874055
150,2,0.2,0.0,1,1.0,1.0,36.556500315333466,0.9306026219231828,0,86177.29355152164,-151.88814578154415
100,2,0.2,0.0,1,1.0,1.0,124.12837096061742,0.9392017059805912,0,86179.0585655735,-150.12313172967697
200,2,0.2,0.0,1,1.0,1.0,33.549925203880235,0.8661259579494164,0,86183.27502988168,-145.90666742149915
100,2,0.1,0.0,1,1.0,1.0,11.220128298251485,0.9070841346420315,0,86183.5423626566,-145.63933464657748
50,2,0.3,0.0,1,1.0,1.0,67.45568515656262,0.9322570600306652,0,86184.87146520677,-144.3102320964099
50,2,0.2,0.0,1,1.0,1.0,29.445728230078306,0.9052801490235812,0,86187.11627761718,-142.06541968599777
1000,2,0.01,0.0,1,1.0,1.0,27.31405162895341,0.9745915436087288,0,86188.0912569063,-141.09044039688888
1000,2,0.1,0.0,1,1.0,1.0,1.139545603421168,0.9154800097986704,0,86189.40574578964,-139.77595151354035
500,3,0.005,0.0,1,1.0,1.0,79.8102062762834,0.9710820554022409,0,86193.65831950674,-135.52337779644586
750,2,0.1,0.0,1,1.0,1.0,4.284184596650961,0.9814047506969505,0,86198.75015821,-130.4315390931879
50,3,0.2,0.0,1,1.0,1.0,79.9369245293745,0.9787484408983638,0,86201.02075115568,-128.16094614750182
750,2,0.01,0.0,1,1.0,1.0,26.70890721937882,0.9233135110599996,0,86203.05986165565,-126.12183564752922
500,2,0.3,0.0,1,1.0,1.0,60.0568537218554,0.8606375762721649,0,86206.12966391991,-123.05203338326828
250,3,0.1,0.0,1,1.0,1.0,23.22548828874217,0.9861603086741836,0,86210.1685405632,-119.01315673998033
50,2,0.1,0.0,1,1.0,1.0,74.55440396402376,0.8862742425138439,0,86219.59934311513,-109.5823541880527
500,2,0.01,0.0,1,1.0,1.0,199.14597274486064,0.9975062246900507,0,86220.24902101838,-108.9326762848068
100,2,0.5,0.0,1,1.0,1.0,45.26467697353037,0.9552405750506127,0,86220.42360556271,-108.75809174047026
1000,2,0.005,0.0,1,1.0,1.0,14.868096778466702,0.9359626191297382,0,86221.49043170577,-107.69126559741562
750,3,0.05,0.0,1,1.0,1.0,18.148267489075167,0.9098105299020585,0,86233.33398196234,-95.84771534084575
100,3,0.2,0.0,1,1.0,1.0,274.6585576114295,0.8529762746985023,0,86236.30281518931,-92.87888211387326
750,2,0.005,0.0,1,1.0,1.0,23.539491329541498,0.8582825547753928,0,86237.16228339562,-92.0194139075611
150,2,0.5,0.0,1,1.0,1.0,148.92204408742805,0.9428545612579399,0,86242.25348202842,-86.9282152747619
50,2,0.5,0.0,1,1.0,1.0,74.03314110144377,0.9976440167226109,0,86252.78948371859,-76.39221358459326
750,2,0.3,0.0,1,1.0,1.0,36.68213247594438,0.9156590498162775,0,86256.26541794857,-72.91627935461293
500,3,0.05,0.0,1,1.0,1.0,3.1143676118137225,0.9092313306331153,0,86258.55665272211,-70.62504458107287
